chip x0 y0 channel x y
0 86.3 86.3 0 -75.3 -69.8
0 86.3 86.3 1 -80.8 -64.3
0 86.3 86.3 2 -69.8 -69.8
0 86.3 86.3 3 -86.3 -53.3
0 86.3 86.3 4 -86.3 -58.8
0 86.3 86.3 5 -80.8 -69.8
0 86.3 86.3 6 -75.3 -75.3
0 86.3 86.3 7 -86.3 -64.3
0 86.3 86.3 8 -80.8 -75.3
0 86.3 86.3 9 -86.3 -69.8
0 86.3 86.3 10 -86.3 -75.3
0 86.3 86.3 11 -75.3 -80.8
0 86.3 86.3 12 -80.8 -80.8
0 86.3 86.3 13 -86.3 -80.8
0 86.3 86.3 14 -86.3 -86.3
0 86.3 86.3 15 -80.8 -86.3
0 86.3 86.3 16 -75.3 -86.3
0 86.3 86.3 17 -69.8 -80.8
0 86.3 86.3 18 -69.8 -86.3
0 86.3 86.3 19 -69.8 -75.3
0 86.3 86.3 20 -80.8 -58.8
0 86.3 86.3 21 -75.3 -64.3
0 86.3 86.3 22 -86.3 -47.8
0 86.3 86.3 23 -69.8 -64.3
0 86.3 86.3 24 -75.3 -58.8
0 86.3 86.3 25 -64.3 -80.8
0 86.3 86.3 26 -64.3 -86.3
0 86.3 86.3 27 -64.3 -75.3
0 86.3 86.3 28 -64.3 -69.8
0 86.3 86.3 29 -64.3 -64.3
0 86.3 86.3 30 -80.8 -53.3
0 86.3 86.3 31 -80.8 -47.8
0 86.3 86.3 32 -58.8 -86.3
0 86.3 86.3 33 -75.3 -53.3
0 86.3 86.3 34 -69.8 -58.8
0 86.3 86.3 35 -64.3 -58.8
0 86.3 86.3 36 -58.8 -80.8
0 86.3 86.3 37 -75.3 -47.8
0 86.3 86.3 38 -69.8 -53.3
0 86.3 86.3 39 -58.8 -75.3
0 86.3 86.3 40 -58.8 -69.8
0 86.3 86.3 41 -58.8 -64.3
0 86.3 86.3 42 -58.8 -58.8
0 86.3 86.3 43 -69.8 -47.8
0 86.3 86.3 44 -64.3 -53.3
0 86.3 86.3 45 -53.3 -80.8
0 86.3 86.3 46 -64.3 -47.8
0 86.3 86.3 47 -47.8 -86.3
0 86.3 86.3 48 -53.3 -86.3
0 86.3 86.3 49 -47.8 -53.3
0 86.3 86.3 50 -58.8 -53.3
0 86.3 86.3 51 -47.8 -80.8
0 86.3 86.3 52 -58.8 -47.8
0 86.3 86.3 53 -47.8 -58.8
0 86.3 86.3 54 -53.3 -69.8
0 86.3 86.3 55 -47.8 -64.3
0 86.3 86.3 56 -53.3 -75.3
0 86.3 86.3 57 -47.8 -69.8
0 86.3 86.3 58 -53.3 -64.3
0 86.3 86.3 59 -47.8 -75.3
0 86.3 86.3 60 -53.3 -58.8
0 86.3 86.3 61 -47.8 -47.8
0 86.3 86.3 62 -53.3 -53.3
0 86.3 86.3 63 -53.3 -47.8
1 86.3 42.3 0 -53.3 -36.8
1 86.3 42.3 1 -53.3 -42.3
1 86.3 42.3 2 -53.3 -31.3
1 86.3 42.3 3 -47.8 -42.3
1 86.3 42.3 4 -53.3 -25.8
1 86.3 42.3 5 -47.8 -14.8
1 86.3 42.3 6 -47.8 -20.3
1 86.3 42.3 7 -53.3 -14.8
1 86.3 42.3 8 -47.8 -25.8
1 86.3 42.3 9 -53.3 -20.3
1 86.3 42.3 10 -47.8 -31.3
1 86.3 42.3 11 -58.8 -42.3
1 86.3 42.3 12 -47.8 -9.3
1 86.3 42.3 13 -58.8 -36.8
1 86.3 42.3 14 -47.8 -36.8
1 86.3 42.3 15 -53.3 -3.8
1 86.3 42.3 16 -47.8 -3.8
1 86.3 42.3 17 -64.3 -42.3
1 86.3 42.3 18 -53.3 -9.3
1 86.3 42.3 19 -69.8 -42.3
1 86.3 42.3 20 -64.3 -36.8
1 86.3 42.3 21 -58.8 -25.8
1 86.3 42.3 22 -58.8 -31.3
1 86.3 42.3 23 -58.8 -14.8
1 86.3 42.3 24 -58.8 -20.3
1 86.3 42.3 25 -75.3 -42.3
1 86.3 42.3 26 -69.8 -36.8
1 86.3 42.3 27 -64.3 -31.3
1 86.3 42.3 28 -58.8 -9.3
1 86.3 42.3 29 -75.3 -36.8
1 86.3 42.3 30 -80.8 -36.8
1 86.3 42.3 31 -80.8 -42.3
1 86.3 42.3 32 -69.8 -31.3
1 86.3 42.3 33 -64.3 -25.8
1 86.3 42.3 34 -58.8 -3.8
1 86.3 42.3 35 -64.3 -14.8
1 86.3 42.3 36 -64.3 -20.3
1 86.3 42.3 37 -64.3 -9.3
1 86.3 42.3 38 -64.3 -3.8
1 86.3 42.3 39 -69.8 -25.8
1 86.3 42.3 40 -75.3 -31.3
1 86.3 42.3 41 -75.3 -25.8
1 86.3 42.3 42 -86.3 -42.3
1 86.3 42.3 43 -69.8 -14.8
1 86.3 42.3 44 -80.8 -31.3
1 86.3 42.3 45 -69.8 -3.8
1 86.3 42.3 46 -69.8 -9.3
1 86.3 42.3 47 -75.3 -3.8
1 86.3 42.3 48 -80.8 -3.8
1 86.3 42.3 49 -86.3 -3.8
1 86.3 42.3 50 -86.3 -9.3
1 86.3 42.3 51 -80.8 -9.3
1 86.3 42.3 52 -75.3 -9.3
1 86.3 42.3 53 -86.3 -14.8
1 86.3 42.3 54 -86.3 -20.3
1 86.3 42.3 55 -80.8 -14.8
1 86.3 42.3 56 -86.3 -25.8
1 86.3 42.3 57 -80.8 -20.3
1 86.3 42.3 58 -86.3 -31.3
1 86.3 42.3 59 -75.3 -14.8
1 86.3 42.3 60 -75.3 -20.3
1 86.3 42.3 61 -86.3 -36.8
1 86.3 42.3 62 -69.8 -20.3
1 86.3 42.3 63 -80.8 -25.8
2 42.3 86.3 0 -36.8 -47.8
2 42.3 86.3 1 -36.8 -53.3
2 42.3 86.3 2 -36.8 -58.8
2 42.3 86.3 3 -36.8 -64.3
2 42.3 86.3 4 -36.8 -69.8
2 42.3 86.3 5 -42.3 -47.8
2 42.3 86.3 6 -36.8 -75.3
2 42.3 86.3 7 -42.3 -53.3
2 42.3 86.3 8 -42.3 -58.8
2 42.3 86.3 9 -42.3 -64.3
2 42.3 86.3 10 -42.3 -69.8
2 42.3 86.3 11 -31.3 -80.8
2 42.3 86.3 12 -36.8 -80.8
2 42.3 86.3 13 -42.3 -75.3
2 42.3 86.3 14 -42.3 -80.8
2 42.3 86.3 15 -36.8 -86.3
2 42.3 86.3 16 -42.3 -86.3
2 42.3 86.3 17 -31.3 -86.3
2 42.3 86.3 18 -31.3 -64.3
2 42.3 86.3 19 -31.3 -75.3
2 42.3 86.3 20 -31.3 -69.8
2 42.3 86.3 21 -31.3 -53.3
2 42.3 86.3 22 -31.3 -47.8
2 42.3 86.3 23 -31.3 -58.8
2 42.3 86.3 24 -25.8 -86.3
2 42.3 86.3 25 -25.8 -80.8
2 42.3 86.3 26 -25.8 -47.8
2 42.3 86.3 27 -25.8 -58.8
2 42.3 86.3 28 -25.8 -53.3
2 42.3 86.3 29 -25.8 -69.8
2 42.3 86.3 30 -20.3 -47.8
2 42.3 86.3 31 -25.8 -64.3
2 42.3 86.3 32 -25.8 -75.3
2 42.3 86.3 33 -20.3 -53.3
2 42.3 86.3 34 -20.3 -86.3
2 42.3 86.3 35 -20.3 -58.8
2 42.3 86.3 36 -20.3 -64.3
2 42.3 86.3 37 -20.3 -80.8
2 42.3 86.3 38 -20.3 -75.3
2 42.3 86.3 39 -20.3 -69.8
2 42.3 86.3 40 -14.8 -47.8
